Month;P5;P25;P50;P75;P95
0;31.9;33.1;33.9;34.7;35.8
1;34.6;35.8;36.5;37.3;38.5
2;36.3;37.4;38.3;39.1;40.2
3;37.5;38.7;39.5;40.4;41.6
4;38.5;39.7;40.6;41.4;42.7
5;39.3;40.6;41.5;42.3;43.6
6;40.1;41.3;42.2;43.1;44.3
7;40.7;41.9;42.8;43.7;45
8;41.2;42.5;43.4;44.3;45.6
9;41.6;42.9;43.8;44.7;46
10;42;43.3;44.2;45.1;46.4
11;42.4;43.7;44.6;45.5;46.8
12;42.7;44;44.9;45.8;47.1
13;42.9;44.3;45.2;46.1;47.4
14;43.2;44.5;45.4;46.3;47.7
15;43.4;44.7;45.7;46.6;47.9
16;43.6;44.9;45.9;46.8;48.1
17;43.8;45.1;46.1;47;48.3
18;44;45.3;46.2;47.2;48.5
19;44.1;45.5;46.4;47.3;48.7
20;44.3;45.6;46.6;47.5;48.9
21;44.5;45.8;46.7;47.7;49
22;44.6;46;46.9;47.8;49.2
23;44.7;46.1;47;48;49.3
24;44.9;46.2;47.2;48.1;49.5
25;45;46.4;47.3;48.3;49.6
26;45.2;46.5;47.5;48.4;49.8
27;45.3;46.6;47.6;48.5;49.9
28;45.4;46.8;47.7;48.7;50
29;45.5;46.9;47.8;48.8;50.1
30;45.6;47;47.9;48.9;50.2
31;45.7;47.1;48;49;50.4
32;45.8;47.2;48.1;49.1;50.5
33;45.9;47.3;48.2;49.2;50.6
34;46;47.4;48.3;49.3;50.7
35;46.1;47.5;48.4;49.4;50.7
36;46.2;47.6;48.5;49.5;50.8
37;46.3;47.6;48.6;49.5;50.9
38;46.3;47.7;48.7;49.6;51
39;46.4;47.8;48.7;49.7;51.1
40;46.5;47.9;48.8;49.8;51.2
41;46.6;47.9;48.9;49.8;51.2
42;46.6;48;49;49.9;51.3
43;46.7;48.1;49;50;51.4
44;46.8;48.1;49.1;50.1;51.4
45;46.8;48.2;49.2;50.1;51.5
46;46.9;48.3;49.2;50.2;51.6
47;46.9;48.3;49.3;50.2;51.6
48;47;48.4;49.3;50.3;51.7
49;47.1;48.4;49.4;50.3;51.7
50;47.1;48.5;49.4;50.4;51.8
51;47.2;48.5;49.5;50.5;51.8
52;47.2;48.6;49.5;50.5;51.9
53;47.3;48.6;49.6;50.6;51.9
54;47.3;48.7;49.6;50.6;52
55;47.4;48.7;49.7;50.7;52
56;47.4;48.8;49.7;50.7;52.1
57;47.4;48.8;49.8;50.7;52.1
58;47.5;48.9;49.8;50.8;52.2
59;47.5;48.9;49.9;50.8;52.2
60;47.6;49;49.9;50.9;52.3
