Month;P5;P25;P50;P75;P95
0;2.6;3;3.3;3.7;4.2
1;3.6;4.1;4.5;4.9;5.5
2;4.5;5.1;5.6;6;6.8
3;5.2;5.9;6.4;6.9;7.7
4;5.8;6.5;7;7.6;8.4
5;6.2;7;7.5;8.1;9
6;6.6;7.4;7.9;8.5;9.5
7;6.9;7.7;8.3;8.9;9.9
8;7.2;8;8.6;9.3;10.3
9;7.4;8.3;8.9;9.6;10.6
10;7.7;8.5;9.2;9.9;10.9
11;7.9;8.7;9.4;10.1;11.2
12;8.1;9;9.6;10.4;11.5
13;8.2;9.2;9.9;10.6;11.8
14;8.4;9.4;10.1;10.9;12.1
15;8.6;9.6;10.3;11.1;12.3
16;8.8;9.8;10.5;11.3;12.6
17;8.9;10;10.7;11.6;12.9
18;9.1;10.1;10.9;11.8;13.1
19;9.3;10.3;11.1;12;13.4
20;9.4;10.5;11.3;12.2;13.6
21;9.6;10.7;11.5;12.5;13.9
22;9.8;10.9;11.8;12.7;14.2
23;9.9;11.1;12;12.9;14.4
24;10.1;11.3;12.2;13.1;14.7
25;10.2;11.4;12.4;13.3;14.9
26;10.4;11.6;12.5;13.6;15.2
27;10.5;11.8;12.7;13.8;15.4
28;10.7;12;12.9;14;15.7
29;10.8;12.1;13.1;14.2;15.9
30;11;12.3;13.3;14.4;16.2
31;11.1;12.4;13.5;14.6;16.4
32;11.2;12.6;13.7;14.8;16.6
33;11.4;12.8;13.8;15;16.9
34;11.5;12.9;14;15.2;17.1
35;11.6;13.1;14.2;15.4;17.3
36;11.8;13.2;14.3;15.6;17.5
37;11.9;13.4;14.5;15.8;17.8
38;12;13.5;14.7;15.9;18
39;12.2;13.7;14.8;16.1;18.2
40;12.3;13.8;15;16.3;18.4
41;12.4;14;15.2;16.5;18.6
42;12.5;14.1;15.3;16.7;18.9
43;12.7;14.3;15.5;16.9;19.1
44;12.8;14.4;15.7;17.1;19.3
45;12.9;14.6;15.8;17.3;19.5
46;13;14.7;16;17.4;19.8
47;13.2;14.9;16.2;17.6;20
48;13.3;15;16.3;17.8;20.2
49;13.4;15.2;16.5;18;20.4
50;13.5;15.3;16.7;18.2;20.7
51;13.7;15.4;16.8;18.4;20.9
52;13.8;15.6;17;18.6;21.1
53;13.9;15.7;17.2;18.8;21.4
54;14;15.9;17.3;19;21.6
55;14.1;16;17.5;19.2;21.8
56;14.3;16.2;17.7;19.3;22.1
57;14.4;16.3;17.8;19.5;22.3
58;14.5;16.5;18;19.7;22.5
59;14.6;16.6;18.2;19.9;22.8
60;14.7;16.7;18.3;20.1;23
