Month;P5;P25;P50;P75;P95
0;46.1;47.9;49.1;50.4;52.2
1;50.5;52.4;53.7;55;56.9
2;53.7;55.7;57.1;58.4;60.4
3;56.3;58.4;59.8;61.2;63.3
4;58.5;60.6;62.1;63.5;65.7
5;60.4;62.5;64;65.5;67.7
6;62;64.2;65.7;67.3;69.5
7;63.5;65.7;67.3;68.8;71.1
8;64.9;67.2;68.7;70.3;72.6
9;66.2;68.5;70.1;71.8;74.1
10;67.4;69.8;71.5;73.1;75.5
11;68.6;71.1;72.8;74.5;76.9
12;69.8;72.3;74;75.8;78.3
13;70.9;73.4;75.2;77;79.5
14;72;74.6;76.4;78.2;80.8
15;73;75.7;77.5;79.4;82
16;74;76.7;78.6;80.5;83.2
17;75;77.7;79.7;81.6;84.4
18;75.9;78.7;80.7;82.7;85.5
19;76.9;79.7;81.7;83.7;86.6
20;77.7;80.7;82.7;84.7;87.7
21;78.6;81.6;83.7;85.7;88.7
22;79.5;82.5;84.6;86.7;89.7
23;80.3;83.4;85.5;87.7;90.7
24;81.1;84.2;86.4;88.6;91.7
25;81.2;84.4;86.6;88.8;92
26;82;85.2;87.4;89.7;92.9
27;82.7;86;88.3;90.6;93.8
28;83.5;86.8;89.1;91.4;94.7
29;84.2;87.6;89.9;92.2;95.6
30;84.9;88.3;90.7;93.1;96.5
31;85.6;89;91.4;93.9;97.3
32;86.2;89.7;92.2;94.6;98.2
33;86.9;90.4;92.9;95.4;99
34;87.5;91.1;93.6;96.2;99.8
35;88.2;91.8;94.4;96.9;100.5
36;88.8;92.5;95.1;97.6;101.3
37;89.4;93.1;95.7;98.3;102.1
38;90;93.8;96.4;99;102.8
39;90.6;94.4;97.1;99.7;103.6
40;91.2;95.1;97.7;100.4;104.3
41;91.8;95.7;98.4;101.1;105
42;92.4;96.3;99;101.8;105.7
43;92.9;96.9;99.7;102.4;106.4
44;93.5;97.5;100.3;103.1;107.1
45;94;98.1;100.9;103.7;107.8
46;94.6;98.7;101.5;104.4;108.5
47;95.1;99.3;102.1;105;109.2
48;95.6;99.8;102.7;105.6;109.8
49;96.2;100.4;103.3;106.3;110.5
50;96.7;100.9;103.9;106.9;111.1
51;97.2;101.5;104.5;107.5;111.8
52;97.7;102;105;108.1;112.4
53;98.2;102.6;105.6;108.6;113
54;98.7;103.1;106.2;109.2;113.6
55;99.2;103.6;106.7;109.8;114.3
56;99.7;104.2;107.3;110.4;114.9
57;100.2;104.7;107.8;111;115.5
58;100.7;105.2;108.4;111.5;116.1
59;101.1;105.7;108.9;112.1;116.7
60;101.6;106.2;109.4;112.6;117.2
