Month;P5;P25;P50;P75;P95
0;2.5;2.9;3.2;3.6;4
1;3.3;3.8;4.2;4.6;5.2
2;4.1;4.7;5.1;5.6;6.3
3;4.7;5.4;5.8;6.4;7.2
4;5.2;5.9;6.4;7;7.9
5;5.6;6.4;6.9;7.5;8.4
6;6;6.7;7.3;7.9;8.9
7;6.3;7;7.6;8.3;9.4
8;6.5;7.3;7.9;8.6;9.7
9;6.8;7.6;8.2;8.9;10.1
10;7;7.8;8.5;9.2;10.4
11;7.2;8;8.7;9.5;10.7
12;7.3;8.2;8.9;9.7;11
13;7.5;8.4;9.2;10;11.3
14;7.7;8.6;9.4;10.2;11.5
15;7.9;8.8;9.6;10.4;11.8
16;8.1;9;9.8;10.7;12.1
17;8.2;9.2;10;10.9;12.3
18;8.4;9.4;10.2;11.1;12.6
19;8.6;9.6;10.4;11.4;12.9
20;8.7;9.8;10.6;11.6;13.1
21;8.9;10;10.9;11.8;13.4
22;9.1;10.2;11.1;12;13.6
23;9.2;10.4;11.3;12.3;13.9
24;9.4;10.6;11.5;12.5;14.2
25;9.6;10.8;11.7;12.7;14.4
26;9.8;10.9;11.9;12.9;14.7
27;9.9;11.1;12.1;13.2;15
28;10.1;11.3;12.3;13.4;15.2
29;10.2;11.5;12.5;13.6;15.5
30;10.4;11.7;12.7;13.8;15.7
31;10.5;11.9;12.9;14.1;16
32;10.7;12;13.1;14.3;16.2
33;10.8;12.2;13.3;14.5;16.5
34;11;12.4;13.5;14.7;16.8
35;11.1;12.5;13.7;14.9;17
36;11.3;12.7;13.9;15.1;17.3
37;11.4;12.9;14;15.3;17.5
38;11.6;13;14.2;15.6;17.8
39;11.7;13.2;14.4;15.8;18
40;11.8;13.4;14.6;16;18.3
41;12;13.5;14.8;16.2;18.6
42;12.1;13.7;15;16.4;18.8
43;12.2;13.9;15.2;16.6;19.1
44;12.4;14;15.3;16.8;19.3
45;12.5;14.2;15.5;17;19.6
46;12.6;14.3;15.7;17.3;19.9
47;12.8;14.5;15.9;17.5;20.1
48;12.9;14.7;16.1;17.7;20.4
49;13;14.8;16.3;17.9;20.6
50;13.2;15;16.4;18.1;20.9
51;13.3;15.1;16.6;18.3;21.2
52;13.4;15.3;16.8;18.5;21.4
53;13.5;15.4;17;18.7;21.7
54;13.7;15.6;17.2;18.9;22
55;13.8;15.8;17.3;19.1;22.2
56;13.9;15.9;17.5;19.3;22.5
57;14;16.1;17.7;19.6;22.7
58;14.2;16.2;17.9;19.8;23
59;14.3;16.4;18;20;23.3
60;14.4;16.5;18.2;20.2;23.5
