Month;P5;P25;P50;P75;P95
0;46.8;48.6;49.9;51.2;53
1;51.5;53.4;54.7;56;57.9
2;55.1;57.1;58.4;59.8;61.7
3;58.1;60.1;61.4;62.8;64.8
4;60.5;62.5;63.9;65.3;67.3
5;62.4;64.5;65.9;67.3;69.4
6;64.1;66.2;67.6;69.1;71.1
7;65.6;67.7;69.2;70.6;72.7
8;67;69.1;70.6;72.1;74.2
9;68.3;70.5;72;73.5;75.7
10;69.5;71.7;73.3;74.8;77
11;70.7;73;74.5;76.1;78.4
12;71.8;74.1;75.7;77.4;79.7
13;72.9;75.3;76.9;78.6;80.9
14;74;76.4;78;79.7;82.1
15;75;77.4;79.1;80.9;83.3
16;76;78.5;80.2;82;84.5
17;76.9;79.5;81.2;83;85.6
18;77.8;80.4;82.3;84.1;86.7
19;78.7;81.4;83.2;85.1;87.8
20;79.6;82.3;84.2;86.1;88.8
21;80.4;83.2;85.1;87.1;89.9
22;81.2;84.1;86;88;90.9
23;82;84.9;86.9;89;91.9
24;82.8;85.8;87.8;89.9;92.8
25;82.8;85.9;88;90.1;93.1
26;83.6;86.7;88.8;90.9;94
27;84.3;87.4;89.6;91.8;94.9
28;85;88.2;90.4;92.6;95.8
29;85.7;88.9;91.2;93.4;96.7
30;86.3;89.6;91.9;94.2;97.5
31;87;90.3;92.7;95;98.4
32;87.6;91;93.4;95.7;99.2
33;88.2;91.7;94.1;96.5;99.9
34;88.8;92.3;94.8;97.2;100.7
35;89.4;93;95.4;97.9;101.4
36;90;93.6;96.1;98.6;102.2
37;90.6;94.2;96.7;99.3;102.9
38;91.1;94.8;97.4;99.9;103.6
39;91.7;95.4;98;100.6;104.3
40;92.2;96;98.6;101.3;105
41;92.8;96.6;99.2;101.9;105.7
42;93.3;97.2;99.9;102.5;106.4
43;93.9;97.7;100.4;103.1;107
44;94.4;98.3;101;103.8;107.7
45;94.9;98.9;101.6;104.4;108.3
46;95.4;99.4;102.2;105;109
47;95.9;100;102.8;105.6;109.6
48;96.4;100.5;103.3;106.2;110.2
49;96.9;101;103.9;106.7;110.8
50;97.4;101.6;104.4;107.3;111.5
51;97.9;102.1;105;107.9;112.1
52;98.4;102.6;105.6;108.5;112.7
53;98.9;103.2;106.1;109.1;113.3
54;99.4;103.7;106.7;109.6;113.9
55;99.9;104.2;107.2;110.2;114.5
56;100.4;104.7;107.8;110.8;115.2
57;100.9;105.3;108.3;111.4;115.8
58;101.4;105.8;108.9;111.9;116.4
59;101.9;106.3;109.4;112.5;117
60;102.3;106.8;110;113.1;117.6
